ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
1007	1469	3123	594	60	26	0	309	2546	0	959	5877	0	1991	10068	0	1
1013	3403	12516	1200	1031	7272	1200	36	253	2484	441	2741	2700	60	26	0	1
1025	135	409	2588	1031	7272	0	36	253	1752	3403	12516	0	441	2741	2700	4
1058	1959	858	0	262	5344	0	294	1043	2392	1491	690	1900	1556	434	2600	1
1059	262	5344	0	19	68	0	45	309	0	84	809	509	148	2754	509	5
1059	19	68	0	148	2754	509	45	309	0	84	809	509	709	269	509	2
1062	84	809	509	76	121	0	1668	10866	428	554	2979	660	2701	4208	428	5
1068	136	249	3332	1504	198	1732	671	1492	0	1324	2309	1800	1335	5049	1800	3
1083	946	236	665	267	3670	0	63	1050	664	0	5333	664	2939	2361	0	5
1091	1645	7010	0	1000	665	0	2925	4548	1200	6330	11383	1200	483	884	2500	2
1098	63	1050	664	267	3670	0	2939	2361	0	4358	16200	840	1645	7010	0	4
1107	933	1770	289	96	1841	0	635	5147	0	717	93	0	3375	17328	605	4
1108	3375	17328	2100	933	1770	0	96	1841	832	635	5147	832	821	1220	0	5
1110	821	1220	283	717	93	426	933	1770	283	96	1841	426	635	5147	426	2
1112	933	1770	289	96	1841	0	635	5147	0	717	93	0	552	3932	529	4
1112	2705	89841	988	717	93	0	96	1841	0	635	5147	0	933	1770	289	1
1113	1510	1147	0	1399	1189	0	898	56296	736	909	916	428	96	1841	0	3
1116	635	5147	0	717	93	0	96	1841	0	933	1770	289	1399	1189	0	3
1116	933	1770	289	717	93	0	96	1841	0	635	5147	0	2705	89841	988	5
1121	96	1841	426	821	1220	283	933	1770	283	2705	89841	684	635	5147	0	4
1121	552	3932	1820	821	1220	860	96	1841	1244	635	5147	1244	933	1770	800	5
1137	3210	3884	0	1491	8362	0	165	437	1564	995	1513	1900	1344	2562	1900	2
1143	2473	1131	0	4160	19515	247	3479	27106	247	1817	1498	599	1622	7598	646	1
1153	3289	9748	880	1192	2578	741	2201	30672	741	4406	10446	0	1399	1189	0	4
1154	100	2641	0	975	1058	0	1840	2872	0	241	485	1500	4406	10446	0	2
1154	241	485	975	975	1058	0	100	2641	0	1840	2872	0	4409	19541	1630	5
1156	663	1195	2000	68	45	0	114	359	0	274	5555	0	1841	7523	0	5
