CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1007	1	1	1	1.469	3.123	5.94	1				
1007	1	1	2	0.06	0.026	0	0				
1007	1	1	3	0.309	2.546	0	0				
1007	1	1	4	0.959	5.877	0	0				
1007	1	1	5	1.991	10.068	0	0				
1013	2	1	1	3.403	12.516	12	1				
1013	2	1	2	1.031	7.272	12	0				
1013	2	1	3	0.036	0.253	24.84	0				
1013	2	1	4	0.441	2.741	27	0				
1013	2	1	5	0.06	0.026	0	0				
1025	3	4	1	0.135	0.409	25.88	0				
1025	3	4	2	1.031	7.272	0	0				
1025	3	4	3	0.036	0.253	17.52	0				
1025	3	4	4	3.403	12.516	0	1				
1025	3	4	5	0.441	2.741	27	0				
1058	4	1	1	1.959	0.858	0	1				
1058	4	1	2	0.262	5.344	0	0				
1058	4	1	3	0.294	1.043	23.92	0				
1058	4	1	4	1.491	0.69	19	0				
1058	4	1	5	1.556	0.434	26	0				
1059	5	5	1	0.262	5.344	0	0				
1059	5	5	2	0.019	0.068	0	0				
1059	5	5	3	0.045	0.309	0	0				
1059	5	5	4	0.084	0.809	5.09	0				
1059	5	5	5	0.148	2.754	5.09	1				
1059	6	2	1	0.019	0.068	0	0				
1059	6	2	2	0.148	2.754	5.09	1				
1059	6	2	3	0.045	0.309	0	0				
1059	6	2	4	0.084	0.809	5.09	0				
1059	6	2	5	0.709	0.269	5.09	0				
1062	7	5	1	0.084	0.809	5.09	0				
1062	7	5	2	0.076	0.121	0	0				
1062	7	5	3	1.668	10.866	4.28	0				
1062	7	5	4	0.554	2.979	6.6	0				
1062	7	5	5	2.701	4.208	4.28	1				
1068	8	3	1	0.136	0.249	33.32	0				
1068	8	3	2	1.504	0.198	17.32	0				
1068	8	3	3	0.671	1.492	0	1				
1068	8	3	4	1.324	2.309	18	0				
1068	8	3	5	1.335	5.049	18	0				
1083	9	5	1	0.946	0.236	6.65	0				
1083	9	5	2	0.267	3.67	0	0				
1083	9	5	3	0.063	1.05	6.64	0				
1083	9	5	4	0	5.333	6.64	0				
1083	9	5	5	2.939	2.361	0	1				
1091	10	2	1	1.645	7.01	0	0				
1091	10	2	2	1	0.665	0	1				
1091	10	2	3	2.925	4.548	12	0				
1091	10	2	4	6.33	11.383	12	0				
1091	10	2	5	0.483	0.884	25	0				
1098	11	4	1	0.063	1.05	6.64	0				
1098	11	4	2	0.267	3.67	0	0				
1098	11	4	3	2.939	2.361	0	0				
1098	11	4	4	4.358	16.2	8.4	1				
1098	11	4	5	1.645	7.01	0	0				
1107	12	4	1	0.933	1.77	2.89	0				
1107	12	4	2	0.096	1.841	0	0				
1107	12	4	3	0.635	5.147	0	0				
1107	12	4	4	0.717	0.093	0	1				
1107	12	4	5	3.375	17.328	6.05	0				
1108	13	5	1	3.375	17.328	21	0				
1108	13	5	2	0.933	1.77	0	0				
1108	13	5	3	0.096	1.841	8.32	0				
1108	13	5	4	0.635	5.147	8.32	0				
1108	13	5	5	0.821	1.22	0	1				
1110	14	2	1	0.821	1.22	2.83	0				
1110	14	2	2	0.717	0.093	4.26	1				
1110	14	2	3	0.933	1.77	2.83	0				
1110	14	2	4	0.096	1.841	4.26	0				
1110	14	2	5	0.635	5.147	4.26	0				
1112	15	4	1	0.933	1.77	2.89	0				
1112	15	4	2	0.096	1.841	0	0				
1112	15	4	3	0.635	5.147	0	0				
1112	15	4	4	0.717	0.093	0	1				
1112	15	4	5	0.552	3.932	5.29	0				
1112	16	1	1	2.705	89.841	9.88	1				
1112	16	1	2	0.717	0.093	0	0				
1112	16	1	3	0.096	1.841	0	0				
1112	16	1	4	0.635	5.147	0	0				
1112	16	1	5	0.933	1.77	2.89	0				
1113	17	3	1	1.51	1.147	0	0				
1113	17	3	2	1.399	1.189	0	0				
1113	17	3	3	0.898	56.296	7.36	1				
1113	17	3	4	0.909	0.916	4.28	0				
1113	17	3	5	0.096	1.841	0	0				
1116	18	3	1	0.635	5.147	0	0				
1116	18	3	2	0.717	0.093	0	0				
1116	18	3	3	0.096	1.841	0	1				
1116	18	3	4	0.933	1.77	2.89	0				
1116	18	3	5	1.399	1.189	0	0				
1116	19	5	1	0.933	1.77	2.89	0				
1116	19	5	2	0.717	0.093	0	0				
1116	19	5	3	0.096	1.841	0	0				
1116	19	5	4	0.635	5.147	0	0				
1116	19	5	5	2.705	89.841	9.88	1				
1121	20	4	1	0.096	1.841	4.26	0				
1121	20	4	2	0.821	1.22	2.83	0				
1121	20	4	3	0.933	1.77	2.83	0				
1121	20	4	4	2.705	89.841	6.84	1				
1121	20	4	5	0.635	5.147	0	0				
1121	21	5	1	0.552	3.932	18.2	0				
1121	21	5	2	0.821	1.22	8.6	0				
1121	21	5	3	0.096	1.841	12.44	0				
1121	21	5	4	0.635	5.147	12.44	0				
1121	21	5	5	0.933	1.77	8	1				
1137	22	2	1	3.21	3.884	0	0				
1137	22	2	2	1.491	8.362	0	1				
1137	22	2	3	0.165	0.437	15.64	0				
1137	22	2	4	0.995	1.513	19	0				
1137	22	2	5	1.344	2.562	19	0				
1143	23	1	1	2.473	1.131	0	1				
1143	23	1	2	4.16	19.515	2.47	0				
1143	23	1	3	3.479	27.106	2.47	0				
1143	23	1	4	1.817	1.498	5.99	0				
1143	23	1	5	1.622	7.598	6.46	0				
